lda_topic_name,star_sentiment,count,avg_rating,avg_helpfulness
Baking & Dietary Needs,Negative,790,1.3949367088607596,0.7323436014888209
Baking & Dietary Needs,Neutral,360,3.0,0.8079209938938503
Baking & Dietary Needs,Positive,6627,4.856194356420703,0.9335362802979382
Coffee & Roasts,Negative,1060,1.4679245283018867,0.6463392115959262
Coffee & Roasts,Neutral,863,3.0,0.712043669002464
Coffee & Roasts,Positive,7523,4.795826133191546,0.8893435237487001
Cooking Ingredients & Sauces,Negative,194,1.4123711340206186,0.6683116917326978
Cooking Ingredients & Sauces,Neutral,135,3.0,0.6175517234923686
Cooking Ingredients & Sauces,Positive,1900,4.847368421052631,0.9094100129150099
Daily Use & Supplements,Negative,1147,1.2781168265039233,0.6523463789273615
Daily Use & Supplements,Neutral,400,3.0,0.7566083507641451
Daily Use & Supplements,Positive,5789,4.850578683710485,0.9061228800785847
General Product Experience,Negative,5996,1.2785190126751167,0.7568216060982033
General Product Experience,Neutral,1935,3.0,0.7669213636216484
General Product Experience,Positive,17485,4.831455533314269,0.8944625254907341
Meal Prep & Easy Cooking,Negative,731,1.451436388508892,0.6839394335485048
Meal Prep & Easy Cooking,Neutral,517,3.0,0.8073960730094605
Meal Prep & Easy Cooking,Positive,6953,4.809147130734934,0.9271223956570552
Organic & Nutrition Labels,Negative,825,1.273939393939394,0.7294632327473477
Organic & Nutrition Labels,Neutral,297,3.0,0.7626984284903804
Organic & Nutrition Labels,Positive,2111,4.800094741828517,0.9065975871527292
Pet Food & Treats,Negative,1649,1.2553062462098241,0.7172127896605669
Pet Food & Treats,Neutral,676,3.0,0.7944559470645464
Pet Food & Treats,Positive,9054,4.861829025844931,0.9348374599111617
Snacks & Chocolate,Negative,1341,1.436241610738255,0.6413381962478641
Snacks & Chocolate,Neutral,955,3.0,0.6951330119599533
Snacks & Chocolate,Positive,12162,4.824370991613222,0.8966543117665701
Tea & Beverages,Negative,1282,1.4586583463338534,0.6832737114756857
Tea & Beverages,Neutral,785,3.0,0.7700613107910355
Tea & Beverages,Positive,8459,4.813571344130512,0.907878800119426
